key,value
site_name,彩虹星民宿 Rainbowstar
tagline,紐西蘭基督城・台灣人經營的溫暖農莊民宿（原十里香農場）
intro_text,彩虹星民宿坐落於基督城近郊，由台灣人用心經營，提供乾淨舒適的住宿與友善的打工換宿環境。歡迎旅遊、打工度假或想體驗紐西蘭農莊生活的你。
feature_1,乾淨溫馨的房間，適合短住與長住，走進門就像回到家。
feature_2,用勞務換取住宿，深入體驗紐西蘭在地生活，認識來自各地的朋友。
feature_3,鄰近超市與巴士站，提供在地生活資訊，讓你快速安頓下來。
accommodation_intro,以下為房型與參考房價，實際空房與優惠請以線上申請後的回覆為準。
booking_note,＊房價可能依季節調整，請以申請後的回覆為準。
workexchange_intro,以勞務換取住宿，每日工作數小時即可換得免費住宿，是體驗紐西蘭生活、節省旅費的好方式。
workexchange_terms,"• 每日工作約 2–4 小時，換取住宿。
• 工作內容：環境整理、花園維護、協助接待等。
• 最短換宿天數與條件，請於申請時說明你的計畫。
• 名額有限，請提早申請。"
location_text,"紐西蘭 基督城 Christchurch, New Zealand"
contact_email,your-email@gmail.com
contact_line,LINE ID：請填你的 LINE
notify_email,your-email@gmail.com
hero_image,
hero_image2,
hero_images,
scenery1_photos,
scenery2_photos,
scenery3_photos,
